Symbol,Price
JUBLPHARMA,913.0
JWL,293.75
JUSTDIAL,643.35
JYOTHYLAB,244.27
JYOTICNC,827.6
KPRMILL,930.5
KEI,4566.8
KNRCON,141.38
KPIGREEN,402.85
KPITTECH,861.7
KRBL,364.1
KRN,715.2
KSB,709.65
KAJARIACER,939.95
KPIL,1096.9
KALYANKJIL,418.05
KSL,743.4
KANSAINER,200.03
KTKBANK,202.72
KARURVYSYA,316.0
KSCL,870.5
KAYNES,3942.5
KEC,601.95
KFINTECH,968.1
KIRLOSBROS,1604.6
KIRLOSENG,1379.9
KIRLPNU,1140.7
KITEX,196.17
KOTAKBANK,420.65
KIMS,687.2
LTF,285.1
LTTS,3509.3
LICHSGFIN,507.65
LMW,15177.0
LTFOODS,434.8
LTIM,5115.5
LT,4173.9
LATENTVIEW,389.35
LAURUSLABS,1010.6
LXCHEM,146.74
IXIGO,196.8
THELEELA,445.25
LEMONTREE,127.6
LICI,862.4
LINDEINDIA,6900.0
LLOYDSENGG,53.06
LLOYDSENT,55.27
LLOYDSME,1190.4
LODHA,1073.6
LUMAXTECH,1624.4
LUPIN,2199.3
LUXIND,979.6
MMTC,63.87
MOIL,307.3
MRF,150105.0
MSTCLTD,477.4
MTARTECH,3586.5
MGL,1107.1
MAHSCOOTER,13474.0
MAHSEAMLES,536.2
M&MFIN,363.45
M&M,3533.4
MAHLIFE,368.9
MANINFRA,111.23
MANAPPURAM,302.65
MRPL,185.6
MANKIND,2060.5
MANORAMA,1410.3
MARICO,760.15
MARKSANS,181.75
MARUTI,15237.0
MASTEK,1750.8
MAXESTATES,407.2
MFSL,1824.9
MAXHEALTH,1053.6
MAZDOCK,2350.2
MEDPLUS,858.75
METROPOLIS,1947.8
MINDACORP,598.0
MIDHANI,360.95
MSUMI,42.79
MOTILALOFS,784.55
MPHASIS,2458.4
BECTORFOOD,213.21
MCX,2340.6
MUTHOOTFIN,3586.1
NATCOPHARM,823.85
NBCC,98.08
NCC,151.93
NEOGEN,1286.4
NESCO,1187.0
NHPC,75.47
NLCINDIA,259.3
NMDC,79.43
NSLNISP,40.36
NTPCGREEN,89.01
NTPC,363.0
NH,1819.8
NATIONALUM,349.3
NFL,78.14
NAVA,554.45
NAVINFLUOR,6304.0
NAZARA,279.1
NESTLEIND,1282.6
NETWEB,3097.3
NETWORK18,37.08
NEULANDLAB,13056.0
NEWGEN,479.6
NAM-INDIA,912.4
NIVABUPA,76.24
NUVAMA,1299.7
NUVOCO,340.1
OBEROIRLTY,1547.6
ONGC,267.4
OIL,455.25
OLAELEC,30.89
OLECTRA,1020.9
PAYTM,1126.3
ONESOURCE,1185.2
OPTIEMUS,412.85
OFSS,6639.0
ORCHPHARMA,664.45
ORIENTCEM,160.54
OSWALPUMPS,333.25
PNGJL,566.95
POLICYBZR,1523.8
PCJEWELLER,10.01
PCBL,301.2
PGEL,615.45
PIIND,3150.6
PNBHOUSING,836.05
PNCINFRA,215.09
PTC,185.05
PTCIL,18384.0
PVRINOX,1053.15
PAGEIND,33530.0
PARADEEP,122.75
PARAS,639.6
PATANJALI,521.25
PATELENG,30.29
PGIL,1586.1
PERSISTENT,5479.0
PETRONET,290.4
PFIZER,5037.4
PHOENIXLTD,1735.5
PIDILITIND,1479.3
PPLPHARMA,165.95
POLYMED,1289.2
POLYCAB,7587.5
POLYPLEX,844.55
POONAWALLA,464.15
PFC,400.55
POWERGRID,287.2
POWERMECH,2096.8
PRAJIND,308.45
PREMIERENE,759.2
PRESTIGE,1519.1
PRICOLLTD,633.45
PRINCEPIPE,266.07
PRSMJOHNSN,120.18
PRIVISCL,2738.0
PGHH,11694.0
PRUDENT,2629.6
PNB,118.76
PURVA,256.7
QUESS,205.12
RRKABEL,1403.9
RBLBANK,313.8
RECLTD,346.9
RHIM,436.65
RITES,218.66
RADICO,2789.4
RVNL,308.95
RAILTEL,331.35
RAIN,152.37
RAINBOW,1186.1
RALLIS,264.4
RKFORGE,571.3
RCF,130.58
RATEGAIN,547.85
RATNAMANI,2251.0
RTNINDIA,35.03
RTNPOWER,8.78
RAYMONDLSL,951.2
REDINGTON,262.75
REFEX,232.36
RELAXO,359.8
RELIANCE,1419.6
RELINFRA,104.11
RPOWER,26.8
RELIGARE,244.0
RBA,64.11
ROUTE,549.2
SBFC,96.75
SBICARD,760.7
SBILIFE,2034.2
SJVN,76.67
SKYGOLD,372.75
SRF,2833.4
SAFARI,1766.5
SAGILITY,47.33
SAILIFE,914.85
SAMHI,165.86
SAMMAANCAP,144.03
MOTHERSON,131.26
SANDUMA,206.75
SANOFICONR,4290.4
SANOFI,4036.8
SANSERA,2248.9
SAPPHIRE,218.34
SARDAEN,502.5
SAREGAMA,343.05
SCHAEFFLER,3772.1
SCHNEIDER,811.7
SENCO,352.15
SHAILY,2003.7
SHAKTIPUMP,640.1
SHARDACROP,1256.0
SHARDAMOTR,942.3
SHAREINDIA,149.45
SFL,583.2
SHILPAMED,326.8
SCI,264.43
SHREECEM,26130.0
RENUKA,24.25
SHRIRAMFIN,1065.8
SHRIPISTON,3084.0
SHYAMMETL,879.45
ENRIN,2740.1
SIEMENS,3116.5
SIGNATURE,1040.55
SKIPPER,373.8
SOBHA,1524.9
SOLARINDS,13043.0
SONACOMS,527.95
SONATSOFTW,279.1
SOUTHBANK,40.95
STARCEMENT,216.47
STARHEALTH,467.85
SBIN,1198.6
SAIL,159.28
SWSOLAR,195.79
STLTECH,155.66
STAR,857.65
STYRENIX,1959.8
SUBROS,801.8
SUDARSCHEM,924.7
SUMICHEM,407.05
SPARC,132.1
SUNPHARMA,1697.5
SUNTV,576.4
SUNDARMFIN,5289.5
SUNDRMFAST,926.05
SUNFLAG,245.09
SUNTECK,398.2
SUPREMEIND,3774.9
SUPRIYA,680.85
SURYAROSNI,228.56
SUZLON,45.67
SWANCORP,408.65
SWIGGY,337.65
SYMPHONY,877.35
SYNGENE,434.35
SYRMA,872.8
TARC,152.38
TBOTEK,1520.5
TDPOWERSYS,834.45
TSFINV,439.3
TVSMOTOR,3864.6
TVSSCS,131.13
TANLA,467.8
TATACHEM,695.25
TATACOMM,1656.9
TCS,2692.2
TATACONSUM,1132.2
TATAELXSI,4824.0
TATAINVEST,630.15
TMPV,380.25
TATAPOWER,374.1
TATASTEEL,203.18
TATATECH,598.25
TTML,43.54
TEAMLEASE,1358.5
TECHM,1534.4
TECHNOE,1048.8
TEGA,1638.0
TEJASNET,328.65
TEXRAIL,113.5
THANGAMAYL,3581.6
ANUP,1984.5
NIACL,150.48
RAMCOCEM,1144.7
THERMAX,2886.7
THOMASCOOK,113.01
THYROCARE,403.1
TI,450.7
TIMETECHNO,201.23
TIMKEN,3062.8
TIPSMUSIC,576.5
TITAGARH,764.8
TITAN,4179.2
TORNTPHARM,4078.0
TORNTPOWER,1462.6
TARIL,271.11
TRANSRAILL,555.05
TRENT,4252.0
TRIDENT,26.68
TRIVENI,385.2
TRITURBINE,490.7
TIINDIA,2498.6
UCOBANK,28.13
UNOMINDA,1244.0
UPL,724.3
UTIAMC,1069.35
UJJIVANSFB,61.24
ULTRACEMCO,12963.0
UNIMECH,937.0
UNIONBANK,178.87
UBL,1628.8
UNITDSPR,1402.4
USHAMART,408.9
VGUARD,324.4
VMART,616.85
VIPIND,390.2
V2RETAIL,2031.2
VSTIND,239.56
WABAG,1284.0
VAIBHAVGBL,253.22
DBREALTY,124.77
VTL,510.55
VARROC,557.75
VBL,449.3
MANYAVAR,455.3
VEDL,673.65
VENTIVE,748.45
VESUVIUS,506.8
VIJAYA,988.05
VINATIORGA,1498.7
VMM,121.91
VIYASH,216.33
IDEA,11.3
VOLTAMP,7955.0
VOLTAS,1525.4
WAAREEENER,3096.2
WAAREERTL,888.75
WEBELSOLAR,65.64
WELCORP,802.65
WELENT,495.2
WELSPUNLIV,141.16
WESTLIFE,521.8
WHIRLPOOL,898.4
WIPRO,214.09
WOCKPHARMA,1394.8
YATHARTH,685.25
YESBANK,20.86
ZFCVINDIA,15858.0
ZAGGLE,285.95
ZEEL,96.2
ZENTEC,1314.3
ZENSARTECH,588.35
ZYDUSLIFE,904.7
ZYDUSWELL,407.3
ECLERX,3666.1
EMUDHRA,485.8
